## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/gscmnt/gc13035/production/compute_157910490/cromwell-executions/UnalignedToBQSRCramAndVCF/a7483f19-fb6e-400e-92af-af4d3c8f020f/call-name_sort/execution/NameSorted.bam] OUTPUT=/dev/stdout METRICS_FILE=mark_dups_metrics.txt ASSUME_SORT_ORDER=queryname QUIET=true VALIDATION_STRINGENCY=LENIENT COMPRESSION_LEVEL=0    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 30 09:37:50 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
H_XI-1089-lib1	1533070	318425835	8209895	2787582	382753	29906967	4015248	0.094295	1802680243

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.011676
2.0	1.859543
3.0	2.570125
4.0	3.16565
5.0	3.664748
6.0	4.083033
7.0	4.43359
8.0	4.727385
9.0	4.973609
10.0	5.179965
11.0	5.352908
12.0	5.497848
13.0	5.61932
14.0	5.721123
15.0	5.806442
16.0	5.877947
17.0	5.937873
18.0	5.988097
19.0	6.030188
20.0	6.065464
21.0	6.095028
22.0	6.119805
23.0	6.14057
24.0	6.157973
25.0	6.172558
26.0	6.184782
27.0	6.195026
28.0	6.203612
29.0	6.210807
30.0	6.216837
31.0	6.221891
32.0	6.226127
33.0	6.229676
34.0	6.232651
35.0	6.235145
36.0	6.237234
37.0	6.238986
38.0	6.240453
39.0	6.241683
40.0	6.242714
41.0	6.243578
42.0	6.244302
43.0	6.244909
44.0	6.245417
45.0	6.245844
46.0	6.246201
47.0	6.2465
48.0	6.246751
49.0	6.246961
50.0	6.247138
51.0	6.247285
52.0	6.247409
53.0	6.247513
54.0	6.2476
55.0	6.247673
56.0	6.247734
57.0	6.247785
58.0	6.247828
59.0	6.247864
60.0	6.247894
61.0	6.247919
62.0	6.24794
63.0	6.247958
64.0	6.247973
65.0	6.247985
66.0	6.247996
67.0	6.248004
68.0	6.248012
69.0	6.248018
70.0	6.248023
71.0	6.248027
72.0	6.248031
73.0	6.248034
74.0	6.248037
75.0	6.248039
76.0	6.248041
77.0	6.248042
78.0	6.248043
79.0	6.248044
80.0	6.248045
81.0	6.248046
82.0	6.248047
83.0	6.248047
84.0	6.248048
85.0	6.248048
86.0	6.248048
87.0	6.248048
88.0	6.248049
89.0	6.248049
90.0	6.248049
91.0	6.248049
92.0	6.248049
93.0	6.248049
94.0	6.248049
95.0	6.248049
96.0	6.248049
97.0	6.24805
98.0	6.24805
99.0	6.24805
100.0	6.24805

