## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectWgsMetrics INPUT=/gscmnt/gc13035/production/compute_157910490/cromwell-executions/UnalignedToBQSRCramAndVCF/a7483f19-fb6e-400e-92af-af4d3c8f020f/call-convert_to_cram/execution/H_XI-1089.cram OUTPUT=wgs_metric_summary.txt REFERENCE_SEQUENCE=/gscmnt/gc2709/info/production_reference_GRCh38DH/reference/all_sequences.fa MINIMUM_MAPPING_QUALITY=0 MINIMUM_BASE_QUALITY=0 INTERVALS=/gscmnt/gc2709/info/production_reference_GRCh38DH/intervals/build38_autosome_intervals.list    COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 30 23:19:45 CDT 2017

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
2745186691	27.389771	10.123916	27	4	0	0.094004	0.00172	0	0.031455	0.016835	0.144013	0.998762	0.995662	0.991658	0.979385	0.905786	0.663772	0.323261	0.026621	0.008073	0.005638	0.004269	0.003371	0.002728	0.002278	0.994999	23

## HISTOGRAM	java.lang.Integer
coverage	count
0	3397241
1	2471263
2	2147360
3	1987333
4	1905494
5	1898823
6	1947720
7	2092210
8	2333737
9	2719131
10	3327403
11	4281964
12	5807525
13	8233780
14	12041278
15	17739092
16	25958013
17	37190016
18	51698750
19	69456079
20	89935292
21	112004804
22	134418015
23	155212909
24	172804022
25	185614564
26	192641643
27	193116540
28	187352271
29	176039589
30	160475789
31	141939360
32	121951627
33	101943526
34	82984523
35	65837988
36	50996358
37	38635386
38	28674115
39	20893665
40	14993760
41	10624252
42	7500913
43	5287752
44	3766816
45	2734096
46	2054662
47	1591327
48	1285684
49	1078115
50	940026
51	839797
52	767201
53	709530
54	660198
55	620312
56	584132
57	551441
58	520927
59	493289
60	467562
61	442639
62	419905
63	400536
64	381170
65	361005
66	343317
67	327432
68	313460
69	300260
70	288847
71	276870
72	266723
73	256611
74	249538
75	239742
76	232593
77	224881
78	218144
79	210898
80	203812
81	197398
82	191273
83	184474
84	179748
85	173958
86	167080
87	161067
88	156225
89	149428
90	144393
91	138269
92	132987
93	129325
94	124958
95	121632
96	117383
97	112965
98	109071
99	105422
100	102049
101	98558
102	95809
103	92290
104	89316
105	86519
106	84475
107	82185
108	79562
109	77211
110	75396
111	73804
112	71445
113	69607
114	67743
115	65646
116	64110
117	62401
118	61717
119	59713
120	58671
121	57432
122	55723
123	53876
124	52540
125	51785
126	50526
127	49782
128	48945
129	48009
130	46810
131	45676
132	44952
133	43762
134	42927
135	42594
136	41560
137	41338
138	40266
139	39560
140	38728
141	38075
142	37948
143	37027
144	36538
145	35365
146	34702
147	34009
148	33059
149	32849
150	32233
151	32189
152	31353
153	30508
154	29703
155	29163
156	28538
157	27848
158	27324
159	27121
160	26800
161	26186
162	26242
163	25805
164	25565
165	25234
166	24905
167	24260
168	23603
169	23821
170	23336
171	22359
172	22118
173	21982
174	21179
175	20987
176	20730
177	20027
178	20020
179	20061
180	19674
181	19353
182	19055
183	19213
184	18702
185	18188
186	18226
187	17932
188	17765
189	17544
190	17636
191	17379
192	16671
193	16913
194	16550
195	16512
196	16210
197	15898
198	15886
199	15530
200	15240
201	14804
202	14627
203	14121
204	14242
205	14241
206	14319
207	13832
208	13801
209	13630
210	13442
211	13302
212	13147
213	12779
214	13064
215	13051
216	13207
217	12536
218	12417
219	12358
220	12275
221	12120
222	11853
223	11841
224	11408
225	11471
226	11229
227	11233
228	11211
229	11097
230	10949
231	10944
232	10796
233	10515
234	10570
235	10430
236	10066
237	9952
238	9980
239	9882
240	9649
241	9869
242	9733
243	9737
244	9480
245	9445
246	9152
247	9085
248	8939
249	8768
250	1680796

