## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=insert_size.pdf INPUT=/gscmnt/gc13035/production/compute_158076365/cromwell-executions/AlignedBamToBQSRCramAndVCF/1fd83af5-bb96-4314-8dcb-d4ac9f6c6064/call-apply_bqsr/execution/NWD316026.bam OUTPUT=insert_size_summary.txt ASSUME_SORTED=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 28 09:52:38 CDT 2017

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
345	50	2	242323434	351.528183	77.661812	292732925	FR	19	39	59	79	101	125	155	191	251	473			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	1397
3	1388
4	1473
5	1457
6	1454
7	1414
8	1392
9	1418
10	1636
11	1506
12	1520
13	1730
14	1759
15	1588
16	1789
17	1696
18	1971
19	10176
20	6977
21	3360
22	2937
23	2784
24	2835
25	2796
26	2816
27	2715
28	2807
29	2683
30	2903
31	2960
32	3229
33	3294
34	3606
35	3645
36	3913
37	3735
38	4090
39	4060
40	4248
41	4154
42	4170
43	4343
44	4554
45	4431
46	4656
47	4374
48	4872
49	4792
50	4880
51	5065
52	4885
53	5045
54	5690
55	5449
56	5583
57	5525
58	5867
59	6088
60	6049
61	5965
62	5925
63	6064
64	6349
65	6182
66	6199
67	6009
68	6385
69	6554
70	6244
71	6499
72	6330
73	6396
74	6773
75	6501
76	6370
77	6281
78	6636
79	7075
80	6928
81	7088
82	6798
83	7378
84	7848
85	7697
86	7607
87	7242
88	7700
89	7855
90	7698
91	7471
92	7296
93	7709
94	7788
95	7646
96	7409
97	7171
98	7592
99	7733
100	7737
101	7665
102	7251
103	7811
104	8122
105	7643
106	7921
107	7944
108	8086
109	8285
110	8476
111	8292
112	8470
113	8417
114	8852
115	8582
116	8670
117	8311
118	8710
119	8759
120	8806
121	8763
122	8742
123	8690
124	9095
125	9257
126	9152
127	9011
128	9246
129	9461
130	9837
131	9514
132	9763
133	10244
134	10157
135	10366
136	10706
137	10980
138	11687
139	11989
140	12185
141	12326
142	12695
143	13132
144	13772
145	14249
146	14384
147	14548
148	15089
149	15691
150	15993
151	16622
152	17086
153	17791
154	18655
155	19103
156	19833
157	20704
158	21301
159	22171
160	23005
161	23741
162	24952
163	25821
164	26823
165	28121
166	29095
167	30944
168	31882
169	33109
170	35064
171	36704
172	38069
173	40026
174	41746
175	44192
