## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[/gscmnt/gc13035/production/compute_158076365/cromwell-executions/AlignedBamToBQSRCramAndVCF/1fd83af5-bb96-4314-8dcb-d4ac9f6c6064/call-name_sort/execution/NameSorted.bam] OUTPUT=/dev/stdout METRICS_FILE=mark_dups_metrics.txt ASSUME_SORT_ORDER=queryname QUIET=true VALIDATION_STRINGENCY=LENIENT COMPRESSION_LEVEL=0    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 27 23:32:10 CDT 2017

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NWD316026-lib1	1658221	342016033	9792261	5630313	499100	44537459	5909605	0.130633	1347930790

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.015448
2.0	1.803331
3.0	2.414649
4.0	2.888969
5.0	3.256993
6.0	3.542542
7.0	3.764099
8.0	3.936005
9.0	4.069386
10.0	4.172876
11.0	4.253174
12.0	4.315477
13.0	4.363818
14.0	4.401326
15.0	4.430428
16.0	4.453008
17.0	4.470528
18.0	4.484121
19.0	4.494669
20.0	4.502852
21.0	4.509202
22.0	4.514129
23.0	4.517951
24.0	4.520917
25.0	4.523219
26.0	4.525004
27.0	4.526389
28.0	4.527464
29.0	4.528298
30.0	4.528946
31.0	4.529448
32.0	4.529837
33.0	4.53014
34.0	4.530374
35.0	4.530556
36.0	4.530697
37.0	4.530807
38.0	4.530892
39.0	4.530958
40.0	4.531009
41.0	4.531049
42.0	4.531079
43.0	4.531103
44.0	4.531122
45.0	4.531136
46.0	4.531147
47.0	4.531156
48.0	4.531163
49.0	4.531168
50.0	4.531172
51.0	4.531175
52.0	4.531178
53.0	4.53118
54.0	4.531181
55.0	4.531182
56.0	4.531183
57.0	4.531184
58.0	4.531184
59.0	4.531185
60.0	4.531185
61.0	4.531185
62.0	4.531185
63.0	4.531186
64.0	4.531186
65.0	4.531186
66.0	4.531186
67.0	4.531186
68.0	4.531186
69.0	4.531186
70.0	4.531186
71.0	4.531186
72.0	4.531186
73.0	4.531186
74.0	4.531186
75.0	4.531186
76.0	4.531186
77.0	4.531186
78.0	4.531186
79.0	4.531186
80.0	4.531186
81.0	4.531186
82.0	4.531186
83.0	4.531186
84.0	4.531186
85.0	4.531186
86.0	4.531186
87.0	4.531186
88.0	4.531186
89.0	4.531186
90.0	4.531186
91.0	4.531186
92.0	4.531186
93.0	4.531186
94.0	4.531186
95.0	4.531186
96.0	4.531186
97.0	4.531186
98.0	4.531186
99.0	4.531186
100.0	4.531186

