## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectWgsMetrics INPUT=/gscmnt/gc13035/production/compute_158076365/cromwell-executions/AlignedBamToBQSRCramAndVCF/1fd83af5-bb96-4314-8dcb-d4ac9f6c6064/call-convert_to_cram/execution/NWD316026.cram OUTPUT=wgs_metric_summary.txt REFERENCE_SEQUENCE=/gscmnt/gc2709/info/production_reference_GRCh38DH/reference/all_sequences.fa MINIMUM_MAPPING_QUALITY=0 MINIMUM_BASE_QUALITY=0 INTERVALS=/gscmnt/gc2709/info/production_reference_GRCh38DH/intervals/build38_autosome_intervals.list    COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 28 13:15:28 CDT 2017

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
2745186691	28.319449	10.840787	28	4	0	0.130258	0.001589	0	0.027253	0.017919	0.177019	0.998491	0.995527	0.992105	0.982278	0.92116	0.705422	0.376357	0.041558	0.010437	0.006846	0.005115	0.004037	0.003299	0.002777	0.995219	23

## HISTOGRAM	java.lang.Integer
coverage	count
0	4142113
1	2556952
2	2030656
3	1828298
4	1720119
5	1681274
6	1705555
7	1793255
8	1960685
9	2253576
10	2705703
11	3447236
12	4645813
13	6563028
14	9614984
15	14255826
16	21056710
17	30580938
18	43133786
19	58753284
20	77231354
21	97762815
22	119143962
23	139834167
24	158269807
25	172828191
26	182469803
27	186410686
28	184492015
29	177143088
30	165278136
31	149904387
32	132334823
33	114037118
34	95955223
35	78870487
36	63519409
37	50224736
38	39040476
39	29921210
40	22623183
41	16963107
42	12654949
43	9398788
44	7011000
45	5269504
46	4006507
47	3095985
48	2440654
49	1969749
50	1627326
51	1375674
52	1193223
53	1050327
54	937737
55	851836
56	782652
57	726041
58	678601
59	634312
60	597249
61	565550
62	536243
63	507691
64	479661
65	456248
66	434968
67	412339
68	390316
69	373137
70	354629
71	341084
72	325270
73	311732
74	298577
75	286325
76	275251
77	264861
78	254973
79	245395
80	237261
81	228401
82	220791
83	213742
84	204474
85	197548
86	191302
87	183658
88	177383
89	170950
90	164946
91	159009
92	155294
93	149940
94	145217
95	140755
96	135445
97	131526
98	128071
99	123524
100	119852
101	116447
102	112662
103	110864
104	106448
105	104588
106	102533
107	99396
108	97633
109	94688
110	91457
111	88458
112	86611
113	84297
114	82411
115	80350
116	79348
117	76946
118	75575
119	74372
120	71925
121	70298
122	69246
123	67831
124	66534
125	65579
126	64003
127	62902
128	61684
129	60923
130	58831
131	58134
132	56933
133	56020
134	54558
135	54121
136	52681
137	52110
138	51041
139	50887
140	49269
141	48920
142	48204
143	48106
144	47101
145	45792
146	45408
147	44516
148	44203
149	43583
150	42950
151	42339
152	41550
153	40897
154	40086
155	39356
156	38560
157	38067
158	37134
159	36240
160	36096
161	35148
162	34203
163	33920
164	33198
165	32303
166	31803
167	31127
168	30604
169	29653
170	29318
171	28907
172	28068
173	27580
174	27228
175	26639
176	26256
177	25585
178	25075
179	24701
180	24544
181	24154
182	23406
183	23217
184	23083
185	22685
186	22240
187	22182
188	21678
189	21420
190	20799
191	20684
192	20364
193	20086
194	19303
195	19127
196	19012
197	18736
198	18354
199	18376
200	18203
201	17874
202	17501
203	17364
204	17194
205	17022
206	17015
207	16733
208	16750
209	16416
210	16365
211	16056
212	15831
213	15920
214	15520
215	15529
216	15390
217	14875
218	14683
219	14670
220	14367
221	14357
222	14492
223	14159
224	13923
225	13616
226	13261
227	13079
228	13082
229	12750
230	12682
231	12572
232	12323
233	12089
234	12116
235	12015
236	12073
237	11953
238	11766
239	11549
240	11501
241	11433
242	11086
243	11288
244	11116
245	10836
246	10813
247	10696
248	10575
249	10666
250	1953651

