## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=insert_size.pdf INPUT=/gscmnt/gc13035/production/compute_157910490/cromwell-executions/UnalignedToBQSRCramAndVCF/a7483f19-fb6e-400e-92af-af4d3c8f020f/call-apply_bqsr/execution/H_XI-1089.bam OUTPUT=insert_size_summary.txt ASSUME_SORTED=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 30 20:44:24 CDT 2017

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
334	46	2	247654768	340.912358	71.966981	284415466	FR	19	37	55	73	93	117	143	177	231	441			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	366
3	361
4	397
5	380
6	404
7	426
8	510
9	540
10	569
11	688
12	760
13	824
14	917
15	1032
16	1177
17	1152
18	1386
19	11447
20	7585
21	2633
22	2311
23	2141
24	2243
25	2325
26	2431
27	2362
28	2476
29	2566
30	2685
31	2609
32	2677
33	2716
34	2917
35	3115
36	2987
37	3040
38	3178
39	3278
40	3440
41	3331
42	3367
43	3550
44	3836
45	3894
46	3999
47	3990
48	4222
49	4211
50	4290
51	4411
52	4346
53	4425
54	4863
55	4582
56	4562
57	4662
58	4736
59	4876
60	4769
61	4880
62	4784
63	4872
64	4993
65	5125
66	5435
67	5245
68	5665
69	5859
70	5661
71	5554
72	5739
73	5863
74	6258
75	5987
76	5852
77	5803
78	6220
79	6268
80	6152
81	6079
82	5896
83	6004
84	6407
85	6185
86	6294
87	6181
88	6364
89	6813
90	6879
91	6750
92	6537
93	6684
94	6966
95	7037
96	6895
97	6631
98	6943
99	7248
100	6776
101	7090
102	6687
103	7032
104	7230
105	6823
106	6899
107	6954
108	7079
109	7076
110	7119
111	7272
112	6940
113	7265
114	7609
115	7572
116	7610
117	7502
118	7956
119	7937
120	8030
121	7895
122	7887
123	8019
124	8148
125	8372
126	8190
127	8217
128	8526
129	8585
130	8704
131	8909
132	8932
133	9105
134	9432
135	9424
136	9643
137	9702
138	9773
139	10450
140	10777
141	10921
142	11189
143	11829
144	11933
145	12405
146	12543
147	12844
148	13694
149	13856
150	14151
151	14777
152	14903
153	15602
154	16150
155	16516
156	17467
157	17698
158	18684
159	19326
160	20053
161	20804
162	21476
163	22260
164	23204
165	24160
166	25108
167	26498
168	27466
169	28733
170	29993
171	31109
172	32562
173	34443
174	35929
175	37504
176	39258
177	40894
